Incident Month,Year,Severity,State,Location,Latitude,Longitude,Shark
8,2010,fatal,WA,"south point beach, cowaramup bay",-33.85,114.9666667,white shark
1,2010,injured,VIC,"13th beach, boings",-38.28333333,144.4333333,white shark
1,2010,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,whitetip reef shark
2,2010,injured,QLD,"dent island, whitsunday islands",-20.35,148.9333333,bull shark
2,2010,injured,NSW,"mona vale, bongin bongin bay",-33.66666667,151.3,wobbegong
5,2010,injured,NSW,"crescent heads, point plomer",-31.3,152.9666667,bull shark
6,2010,injured,WA,"conspicuous cliff beach, walpole",-35.03333333,116.8333333,white shark
8,2010,injured,NSW,crescent head,-31.18333333,152.9666667,white shark
9,2010,injured,NSW,"yamba, lluka, frasers reef",-29.4,153.3333333,white shark
10,2010,injured,WA,"wedge island, north of perth",-30.83333333,115.2666667,white shark
10,2010,injured,NSW,"mullawarra beach, arrawarra",-30.06666667,153.2,wobbegong
10,2010,injured,WA,"garden island, perth",-32.18333333,115.6833333,white shark
1,2010,uninjured,QLD,"bargara, archies beach",-24.8,152.45,white shark
2,2010,uninjured,NSW,"yamba, turners beach",-29.41666667,153.3666667,white shark
2,2011,fatal,SA,perforated island nr coffin bay,-34.71666667,135.15,white shark
8,2011,fatal,QLD,"challenger bay, palm island",-18.71666667,146.5666667,tiger shark
9,2011,fatal,WA,bunker bay,-33.53333333,115.0333333,white shark
10,2011,fatal,WA,rottnest island,-32,115.45,white shark
10,2011,fatal,WA,"cottesloe beach, perth",-31.98333333,115.75,white shark
2,2011,injured,WA,exmouth,-21.95,114.1166667,whaler shark
3,2011,injured,NSW,"port stephens, jimmys beach",-32.73333333,152.1833333,white shark
3,2011,injured,NSW,crowdy heads,-31.83333333,152.7333333,white shark
4,2011,injured,WA,"red bluff, nr carnarvon",-24.48333333,113.4,whaler shark
5,2011,injured,NSW,big seal rocks,-32.45,152.5333333,wobbegong
11,2011,injured,QLD,peregain beach,-26.46666667,153.0833333,wobbegong
12,2011,injured,NSW,"suffolk park, broken head beach",-28.7,153.6,white shark
12,2011,injured,NSW,"maroubra beach, sydney",-33.93333333,151.25,wobbegong
12,2011,injured,NSW,"yamba, angourie beach",-29.48333333,153.35,white shark
10,2011,uninjured,VIC,"elwood beach, port phillip bay",-37.88333333,144.9833333,port jackson shark
3,2012,fatal,WA,"stratham beach, bunbury",-33.46666667,115.5166667,white shark
7,2012,fatal,WA,"wedge island, north of perth",-30.83333333,115.2666667,white shark
1,2012,injured,NSW,north avoca beach,-33.45,151.4333333,white shark
1,2012,injured,NSW,"redhead beach, newcastle",-33,151.7166667,white shark
1,2012,injured,WA,"the lagoon, coral bay",-23.13333333,113.7666667,tiger shark
2,2012,injured,NSW,"port stephens, broughton island",-32.6,152.3166667,wobbegong
3,2012,injured,QLD,"nobbys beach, gold coast",-28.05,153.4333333,bull shark
4,2012,injured,SA,"dolphin bay, yorke peninsula",-35.18333333,136.85,white shark
5,2012,injured,NSW,"forster, barge wreck",-32.21666667,152.6,wobbegong
6,2012,injured,VIC,port campbell,-38.61666667,142.9833333,white shark
6,2012,injured,TAS,south west national park,-43.51666667,146.2333333,white shark
7,2012,injured,SA,"streaky bay, black beach",-32.76666667,134.2,white shark
8,2012,injured,WA,"red bluff, north of carnarvon",-24.38333333,113.3833333,tiger shark
12,2012,injured,NSW,"kylie's beach, diamond head",-31.73333333,152.7833333,bull shark
